Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	15	178	0
2	254	87	9
3	149	282	15
4	199	28	19
5	158	27	19
6	173	72	20
7	158	27	40
8	9	145	43
9	13	202	46
10	81	238	47
11	109	299	57
12	12	10	58
13	11	191	59
14	125	168	63
15	67	175	63
16	135	251	68
17	67	175	71
18	257	58	87
19	153	61	95
20	67	175	96
21	54	285	100
22	115	196	101
23	216	62	106
24	13	265	111
25	60	156	112
26	216	62	113
27	259	240	113
28	277	101	116
29	208	47	122
30	112	43	123
31	233	119	128
32	100	73	133
33	250	134	139
34	158	27	151
35	112	272	155
36	250	134	171
37	59	67	174
38	30	226	175
39	54	285	175
40	258	232	181
41	94	93	181
42	254	87	184
43	106	71	201
44	216	62	202
45	218	20	204
46	274	97	209
47	230	128	216
48	81	238	222
49	15	178	225
50	275	97	234
51	108	109	238
52	12	10	243
53	133	99	251
54	140	214	253
55	11	191	256
56	2	238	260
57	153	61	271
58	125	168	272
59	259	240	278
60	12	10	279
61	97	232	282
62	57	125	283
63	15	178	286
64	202	292	287
65	262	62	287
66	9	145	293
67	274	97	297
68	78	236	301
69	57	125	304
70	191	49	309
71	140	214	329
72	188	142	330
73	60	156	336
74	13	202	339
75	233	119	343
76	112	272	355
77	3	119	359
78	30	226	368
79	84	231	369
80	108	109	374
81	300	44	376
82	52	288	380
83	67	175	385
84	167	176	394
85	158	140	401
86	100	73	401
87	149	282	416
88	161	22	421
89	106	71	422
90	112	272	423
91	274	97	427
92	275	97	438
93	13	202	442
94	259	240	448
95	300	44	448
96	57	123	453
97	60	156	457
98	246	137	458
99	12	10	459
100	65	56	460
101	59	280	461
102	52	288	465
103	274	6	469
104	274	6	470
105	15	178	478
