Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	64	172	6
2	70	89	8
3	133	168	9
4	93	117	11
5	6	95	15
6	126	39	16
7	60	197	17
8	99	156	18
9	15	57	20
10	110	150	22
11	169	36	22
12	3	56	24
13	2	178	27
14	40	87	27
15	135	146	28
16	169	36	29
17	6	95	32
18	100	47	32
19	69	173	34
20	74	31	34
21	17	99	37
22	67	89	39
23	16	146	41
24	106	127	42
25	61	101	46
26	82	100	46
27	128	80	53
28	55	195	54
29	170	64	58
30	6	95	59
31	150	130	61
32	35	90	63
33	54	73	63
34	143	140	70
35	91	43	71
36	12	186	76
37	139	102	77
38	92	39	86
39	6	59	87
40	97	71	90
41	43	98	93
42	68	16	93
43	91	49	97
44	170	83	98
45	61	101	99
46	33	73	103
47	133	168	104
48	121	52	104
49	170	64	108
50	26	169	109
51	101	164	111
52	97	71	112
53	65	182	113
54	61	101	116
55	163	125	118
56	139	102	118
57	48	166	123
58	68	16	132
59	101	164	132
60	68	190	142
61	180	126	155
62	40	87	157
63	20	54	158
64	164	124	164
65	107	73	166
66	150	130	167
67	164	124	170
68	124	154	171
69	139	102	176
70	16	146	179
71	106	127	181
72	68	190	182
73	16	146	187
74	127	46	188
75	29	88	195
76	136	57	199
77	164	124	200
78	82	100	210
79	101	164	213
80	108	82	214
81	2	178	214
82	6	95	217
83	54	73	220
84	6	59	221
85	106	83	223
86	139	102	224
87	97	71	226
88	6	95	234
89	143	30	243
90	160	136	244
91	67	89	246
92	178	69	251
93	38	94	255
94	33	188	255
95	102	146	256
96	136	57	257
97	50	181	258
98	107	73	260
99	92	55	262
100	61	101	262
101	126	39	264
102	124	154	264
103	11	83	266
104	12	186	275
105	17	99	279
106	143	30	283
107	84	10	288
108	11	83	291
109	38	94	297
110	29	88	297
111	5	58	301
112	91	43	303
113	69	173	303
114	160	136	303
115	152	149	305
116	56	192	306
117	7	63	310
118	35	90	310
119	160	136	312
120	150	130	316
121	125	72	319
122	38	94	320
123	126	39	321
124	178	69	322
125	51	190	323
126	54	73	326
127	73	112	329
128	61	101	333
129	135	146	333
130	110	150	335
131	84	133	338
132	116	171	340
133	6	95	341
134	26	169	347
135	97	71	349
136	29	88	351
137	120	70	352
138	136	57	355
139	164	61	356
140	127	46	356
141	128	80	356
142	40	87	362
143	33	188	364
144	164	61	366
145	90	74	368
146	170	64	372
147	33	188	373
148	68	190	374
149	100	47	375
150	6	59	375
151	106	83	379
152	6	66	381
153	62	120	381
154	84	10	383
155	84	10	384
156	91	49	384
157	173	56	386
158	68	16	389
159	11	83	390
160	5	58	391
161	133	168	391
162	160	136	391
163	73	112	396
164	168	43	396
165	106	127	397
166	43	98	399
167	33	73	399
168	68	16	402
169	99	156	404
170	92	39	404
171	173	56	408
172	43	101	410
173	106	83	411
174	67	89	415
175	175	70	415
176	178	69	416
177	20	54	420
178	107	73	423
179	55	195	424
180	2	178	427
181	38	94	428
182	6	59	428
183	175	70	429
184	175	70	430
185	180	126	430
186	73	112	431
187	190	122	431
188	106	83	433
189	135	146	434
190	93	117	436
191	43	98	438
192	60	197	444
193	70	89	445
194	6	66	447
195	12	186	448
196	164	61	449
197	136	57	449
198	33	73	451
199	102	146	456
200	20	54	458
201	64	172	460
202	11	83	460
203	20	54	462
204	12	186	468
205	38	94	470
206	143	30	473
207	60	197	473
208	15	57	474
209	64	172	478
