Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	252	218	3
2	34	50	4
3	251	222	8
4	241	46	9
5	199	214	14
6	135	23	16
7	273	18	17
8	67	142	22
9	259	212	23
10	225	51	28
11	71	126	31
12	67	142	37
13	178	240	38
14	125	39	40
15	65	152	41
16	230	182	48
17	203	217	49
18	131	254	52
19	249	44	53
20	28	122	64
21	135	23	65
22	122	246	73
23	226	56	73
24	215	168	76
25	162	141	77
26	138	17	77
27	178	240	82
28	234	216	85
29	162	141	86
30	262	50	87
31	245	240	95
32	199	214	105
33	67	142	112
34	270	23	118
35	160	244	118
36	252	218	119
37	241	46	121
38	125	39	125
39	40	60	128
40	270	23	134
41	199	214	137
42	6	146	139
43	135	23	147
44	135	23	147
45	62	221	153
46	62	221	161
47	134	273	163
48	273	18	164
49	276	38	165
50	193	194	166
51	62	221	170
52	236	224	171
53	56	117	175
54	175	84	177
55	65	152	178
56	125	39	180
57	40	60	184
58	175	84	189
59	153	74	197
60	171	143	202
61	182	178	205
62	226	56	212
63	189	138	214
64	227	187	221
65	149	130	223
66	193	194	223
67	196	158	225
68	225	51	229
69	42	123	233
70	28	122	235
71	87	105	237
72	239	188	238
73	134	273	245
74	34	50	250
75	71	222	260
76	71	126	264
77	173	73	271
78	28	122	274
79	233	189	276
80	22	126	279
81	56	117	284
82	160	244	285
83	178	240	287
84	117	262	290
85	242	263	292
86	233	189	292
87	171	143	299
88	86	232	299
89	231	235	304
90	225	51	305
91	175	142	306
92	225	51	315
93	73	104	323
94	114	27	325
95	56	117	327
96	42	123	327
97	252	60	334
98	153	64	335
99	257	41	335
100	262	237	339
101	242	263	339
102	250	247	341
103	245	240	341
104	175	84	349
105	45	44	352
106	86	232	353
107	250	234	361
108	176	117	373
109	92	114	376
110	203	217	376
111	45	44	382
112	134	273	383
113	86	232	383
114	77	11	384
115	134	273	386
116	231	235	389
117	193	194	395
118	189	138	396
119	67	142	396
120	71	222	397
121	262	237	404
122	160	244	408
123	125	39	411
124	178	240	413
125	52	80	418
126	274	195	422
127	215	168	422
128	34	50	423
129	275	31	426
130	249	44	433
131	193	194	436
132	273	18	443
133	22	126	444
134	134	273	444
135	176	117	450
136	252	60	450
137	131	254	453
138	160	244	453
139	249	44	457
140	231	235	463
141	251	222	464
142	122	246	464
143	66	139	469
144	284	30	469
145	125	39	471
146	131	254	472
147	171	143	474
