Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	123	8	7
2	118	5	23
3	121	36	38
4	47	50	50
5	93	7	51
6	147	26	54
7	45	48	60
8	154	27	65
9	164	113	67
10	147	26	76
11	164	113	84
12	143	189	96
13	125	38	108
14	42	102	112
15	153	160	160
16	149	5	164
17	109	175	172
18	181	89	174
19	23	137	180
20	145	9	180
21	166	117	199
22	8	74	205
23	182	171	209
24	164	113	220
25	162	123	230
26	39	58	241
27	189	95	244
28	109	175	246
29	154	27	254
30	123	121	271
31	185	96	277
32	148	98	282
33	143	189	284
34	181	175	285
35	105	125	290
36	192	151	329
37	57	54	338
38	197	140	339
39	105	125	350
40	7	142	354
41	102	170	363
42	154	172	371
43	23	142	373
44	189	95	375
45	196	78	381
46	22	133	392
47	162	123	396
48	149	167	417
49	53	29	428
50	123	4	436
51	96	147	442
52	113	94	443
53	148	98	447
54	8	74	456
55	192	28	457
56	28	193	469
57	144	190	473
