Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	236	119	9
2	358	309	10
3	382	49	24
4	358	309	26
5	246	152	27
6	376	19	27
7	168	15	27
8	196	51	33
9	142	238	40
10	285	184	44
11	119	286	49
12	310	163	62
13	365	303	69
14	365	303	73
15	119	286	78
16	74	231	83
17	176	154	83
18	60	319	90
19	176	154	92
20	168	15	98
21	303	258	102
22	168	15	103
23	57	381	107
24	208	86	115
25	353	357	123
26	40	153	126
27	276	298	139
28	338	315	144
29	285	184	146
30	250	183	154
31	45	85	155
32	30	349	165
33	74	231	174
34	276	298	184
35	146	301	192
36	147	210	199
37	365	303	213
38	231	6	214
39	285	184	220
40	40	153	221
41	102	149	238
42	110	351	246
43	29	86	256
44	29	86	267
45	377	29	273
46	303	258	273
47	297	137	276
48	358	309	276
49	382	49	280
50	200	48	281
51	29	86	284
52	74	231	291
53	246	152	293
54	368	278	294
55	59	285	303
56	57	381	303
57	147	210	307
58	40	153	315
59	102	149	321
60	382	49	325
61	338	315	327
62	394	299	331
63	63	166	345
64	384	47	350
65	23	317	354
66	255	80	364
67	29	86	367
68	100	15	372
69	358	309	374
70	365	303	380
71	278	221	388
72	36	203	391
73	63	166	395
74	36	203	403
75	110	241	408
76	146	301	419
77	264	69	419
78	255	80	423
79	36	286	428
80	73	4	430
81	250	183	434
82	36	203	446
83	13	220	447
