Req	X_Coor	Y_Coor	Arr
0	70	70	-1
1	21	115	14
2	110	99	21
3	97	29	21
4	118	108	22
5	80	103	40
6	122	131	45
7	125	68	69
8	80	103	104
9	97	28	119
10	112	67	120
11	115	134	128
12	6	25	131
13	115	134	132
14	41	36	153
15	6	25	170
16	121	110	172
17	21	115	190
18	10	86	206
19	80	103	210
20	92	107	215
21	4	28	219
22	118	108	219
23	59	56	231
24	97	28	240
25	70	94	268
26	112	67	271
27	54	41	271
28	113	45	277
29	122	131	293
30	19	39	298
31	33	0	301
32	110	99	307
33	113	32	323
34	99	34	328
35	100	106	354
36	61	59	355
37	48	47	356
38	61	59	359
39	48	47	389
40	80	103	392
41	50	112	402
42	120	14	407
43	89	39	413
44	116	83	421
45	36	105	424
46	118	108	433
47	100	99	437
48	103	86	441
49	110	66	445
50	15	9	458
51	99	26	473
