Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	38	44	3
2	71	294	4
3	80	86	19
4	238	206	20
5	188	69	23
6	280	158	24
7	220	182	26
8	247	19	27
9	166	194	33
10	76	160	38
11	38	139	40
12	76	160	43
13	238	206	44
14	29	130	45
15	214	234	46
16	238	214	48
17	119	214	62
18	216	203	65
19	33	231	68
20	170	53	74
21	140	18	78
22	149	98	80
23	188	69	80
24	29	130	83
25	208	208	88
26	110	31	90
27	38	139	92
28	80	86	92
29	188	198	93
30	177	281	93
31	37	126	94
32	282	104	95
33	250	124	97
34	152	29	102
35	34	150	104
36	238	206	106
37	280	158	122
38	279	36	127
39	108	3	129
40	279	189	154
41	57	127	157
42	108	3	160
43	43	52	162
44	117	155	167
45	106	168	171
46	177	281	183
47	238	214	190
48	103	8	195
49	154	299	196
50	166	194	196
51	102	155	202
52	158	291	203
53	229	25	204
54	29	8	205
55	107	39	213
56	8	4	213
57	52	109	214
58	107	39	214
59	82	35	216
60	117	155	219
61	82	35	223
62	234	107	237
63	119	214	239
64	4	294	240
65	15	178	244
66	296	235	245
67	25	191	258
68	248	41	259
69	43	62	260
70	110	145	267
71	38	44	268
72	25	191	268
73	296	235	277
74	165	179	286
75	117	155	290
76	279	36	292
77	38	139	295
78	280	158	295
79	56	212	298
80	207	149	299
81	48	141	301
82	72	20	301
83	152	29	301
84	180	114	301
85	208	208	308
86	220	182	314
87	213	119	323
88	238	206	332
89	205	44	334
90	176	263	338
91	82	35	342
92	33	231	350
93	289	79	351
94	26	27	353
95	297	43	353
96	107	39	357
97	15	52	362
98	38	139	363
99	4	294	364
100	207	149	368
101	180	114	369
102	139	33	371
103	15	52	372
104	205	44	372
105	262	80	373
106	15	52	383
107	165	179	388
108	238	214	391
109	238	214	394
110	80	131	398
111	8	4	398
112	154	299	399
113	52	109	404
114	110	145	405
115	8	4	410
116	234	107	410
117	108	3	413
118	103	8	414
119	38	44	420
120	56	212	427
121	216	203	429
122	52	109	435
123	57	192	439
124	33	231	442
125	280	158	451
126	188	69	452
127	136	295	458
128	38	44	460
129	102	155	460
130	16	22	466
