Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	300	144	6
2	68	143	9
3	381	290	9
4	231	6	11
5	222	383	15
6	23	98	30
7	329	236	31
8	166	357	37
9	125	122	38
10	281	155	39
11	395	340	44
12	310	363	44
13	347	395	53
14	159	11	55
15	393	307	59
16	366	340	65
17	364	55	66
18	24	96	67
19	349	157	69
20	300	144	70
21	177	77	82
22	70	231	90
23	321	217	93
24	369	100	95
25	186	75	111
26	359	30	117
27	159	11	123
28	52	194	123
29	349	272	129
30	381	290	143
31	26	250	148
32	364	27	152
33	329	236	156
34	359	30	162
35	369	100	170
36	321	217	171
37	235	212	173
38	70	231	175
39	192	332	179
40	381	290	180
41	52	194	183
42	186	304	187
43	128	68	189
44	381	290	191
45	323	243	200
46	60	319	206
47	393	306	217
48	393	312	219
49	381	290	221
50	176	154	227
51	122	183	245
52	393	306	251
53	221	281	253
54	327	242	255
55	40	380	262
56	34	242	265
57	189	306	266
58	340	290	269
59	122	183	269
60	395	340	272
61	134	63	279
62	24	96	280
63	391	42	281
64	23	98	281
65	393	312	286
66	221	281	292
67	189	306	293
68	176	154	293
69	176	154	295
70	325	45	299
71	183	375	302
72	134	63	307
73	82	360	309
74	364	25	310
75	363	24	310
76	363	24	310
77	302	274	318
78	84	221	323
79	183	375	325
80	366	340	327
81	82	360	335
82	102	377	337
83	381	290	341
84	75	76	343
85	195	294	344
86	304	141	345
87	364	27	360
88	340	290	366
89	140	40	367
90	68	143	369
91	390	357	369
92	192	332	379
93	159	11	381
94	18	100	382
95	40	380	401
96	340	290	404
97	325	45	407
98	373	253	408
99	186	75	409
100	338	315	416
101	159	11	423
102	41	340	424
103	270	151	430
104	364	27	430
105	166	357	435
106	82	365	443
107	26	250	458
108	222	383	464
109	310	363	469
110	363	24	470
111	364	25	475
112	395	340	479
