Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	23	137	1
2	153	160	2
3	97	65	12
4	189	95	23
5	121	36	27
6	46	51	41
7	41	182	53
8	41	182	63
9	8	74	129
10	123	4	144
11	190	109	164
12	78	184	170
13	139	7	177
14	113	94	180
15	22	133	202
16	105	125	205
17	123	8	209
18	5	73	212
19	23	137	224
20	57	54	231
21	190	28	233
22	196	78	237
23	190	28	259
24	125	38	278
25	25	146	282
26	97	65	300
27	178	123	326
28	143	5	335
29	39	58	351
30	46	51	352
31	189	151	355
32	175	143	361
33	110	164	363
34	166	117	366
35	45	48	411
36	147	26	413
37	97	67	421
38	105	125	427
39	123	121	433
40	189	95	436
41	181	89	459
42	39	58	468
43	164	113	476
44	47	50	480
