Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	185	124	4
2	41	187	11
3	41	187	16
4	46	131	19
5	8	74	20
6	162	162	27
7	46	22	37
8	135	0	46
9	60	58	47
10	13	81	50
11	189	83	53
12	3	75	54
13	30	187	65
14	87	191	69
15	50	67	70
16	145	19	73
17	78	115	74
18	36	193	79
19	98	193	90
20	16	84	90
21	113	100	96
22	50	67	99
23	53	31	108
24	85	192	112
25	123	36	116
26	60	184	119
27	78	169	122
28	50	67	123
29	184	140	134
30	180	66	145
31	189	83	146
32	67	138	157
33	42	174	159
34	185	123	161
35	180	66	168
36	60	58	185
37	103	67	185
38	187	142	194
39	187	142	205
40	11	118	208
41	92	178	209
42	11	118	212
43	113	100	214
44	89	176	222
45	24	131	224
46	8	8	237
47	8	8	238
48	13	152	240
49	143	0	242
50	135	0	247
51	109	48	267
52	185	123	271
53	105	26	276
54	52	28	279
55	78	169	282
56	37	177	282
57	13	81	283
58	13	81	285
59	24	140	300
60	189	83	302
61	198	132	303
62	189	83	304
63	26	45	304
64	52	38	308
65	95	50	312
66	187	142	317
67	25	165	317
68	189	83	329
69	127	60	341
70	67	138	371
71	135	0	376
72	81	183	383
73	25	165	394
74	78	169	400
75	85	110	402
76	84	118	407
77	41	187	412
78	165	116	425
79	187	142	427
80	193	12	461
81	159	196	466
82	8	74	468
83	184	140	472
84	60	58	472
85	103	67	479
