Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	220	381	38
2	37	397	39
3	297	137	41
4	349	181	46
5	180	387	47
6	88	121	49
7	300	64	59
8	87	164	63
9	28	353	80
10	225	53	87
11	209	85	91
12	272	154	109
13	342	384	116
14	246	247	120
15	277	163	136
16	393	246	138
17	21	104	148
18	15	4	152
19	34	242	163
20	88	121	206
21	244	285	217
22	226	52	224
23	289	306	231
24	349	181	250
25	300	64	252
26	342	384	253
27	113	179	254
28	154	68	254
29	204	292	255
30	344	283	264
31	210	271	278
32	72	257	288
33	21	104	293
34	208	86	331
35	91	150	332
36	345	382	333
37	110	188	334
38	87	164	337
39	345	382	358
40	373	253	370
41	14	201	378
42	253	316	379
43	350	207	389
44	85	61	419
45	154	68	424
46	369	118	441
47	244	285	459
48	87	153	467
