Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	166	124	0
2	123	175	22
3	215	188	32
4	143	76	33
5	130	235	54
6	268	97	77
7	281	86	78
8	76	212	89
9	243	103	89
10	361	125	98
11	70	207	109
12	74	85	129
13	73	183	130
14	51	95	140
15	152	78	146
16	271	375	151
17	86	59	179
18	70	207	202
19	54	218	246
20	155	349	274
21	208	91	288
22	46	227	289
23	263	80	311
24	341	287	320
25	69	70	327
26	142	363	340
27	226	102	340
28	143	76	358
29	300	203	366
30	282	248	367
31	114	103	397
32	61	183	397
33	166	124	398
34	242	283	426
35	155	349	428
36	267	393	433
37	273	342	434
38	73	183	437
39	74	85	442
40	273	342	458
41	207	55	462
42	207	55	463
43	144	343	464
44	69	70	472
45	128	161	473
46	86	59	475
47	312	217	477
