Req	X_Coor	Y_Coor	Arr
0	100	100	-1
1	155	107	2
2	94	119	3
3	157	142	4
4	108	148	5
5	113	158	5
6	108	141	7
7	28	127	9
8	56	148	22
9	88	143	23
10	134	157	24
11	168	146	28
12	112	78	30
13	152	122	33
14	46	22	50
15	67	70	62
16	45	95	63
17	162	162	68
18	59	24	69
19	162	162	72
20	152	122	76
21	155	107	76
22	8	89	86
23	45	95	92
24	116	4	93
25	186	8	101
26	157	142	102
27	165	156	105
28	39	186	105
29	180	66	117
30	103	25	119
31	130	149	122
32	40	130	123
33	31	63	128
34	23	176	132
35	9	122	132
36	108	148	134
37	97	129	137
38	7	119	141
39	42	174	149
40	85	85	149
41	186	8	154
42	12	131	157
43	75	134	158
44	57	157	159
45	180	66	168
46	31	63	177
47	113	158	178
48	168	146	187
49	59	24	187
50	17	166	192
51	108	148	196
52	35	9	199
53	103	77	200
54	23	176	203
55	105	26	207
56	12	131	207
57	108	141	209
58	126	100	212
59	179	95	218
60	109	197	218
61	143	103	227
62	35	9	228
63	85	85	235
64	94	119	242
65	40	130	243
66	47	118	244
67	42	174	248
68	109	197	249
69	75	134	257
70	56	148	258
71	30	67	261
72	180	66	265
73	103	77	269
74	12	113	284
75	42	148	284
76	5	122	287
77	45	55	288
78	152	190	289
79	113	100	291
80	108	141	292
81	165	156	301
82	113	158	302
83	71	114	306
84	172	186	309
85	157	142	311
86	5	122	314
87	89	176	321
88	109	197	328
89	148	38	335
90	5	122	336
91	12	113	336
92	60	153	339
93	59	139	341
94	85	85	342
95	180	66	350
96	94	119	351
97	129	176	351
98	42	148	352
99	45	55	353
100	113	158	359
101	116	4	361
102	129	176	365
103	28	127	366
104	60	153	371
105	84	180	374
106	12	131	375
107	30	67	376
108	186	8	380
109	162	162	381
110	109	197	382
111	94	119	386
112	124	165	392
113	126	100	393
114	94	119	394
115	42	148	408
116	157	142	410
117	112	6	416
118	146	166	418
119	151	180	419
120	12	113	419
121	105	26	420
122	47	118	420
123	198	16	423
124	35	9	424
125	59	139	432
126	149	103	433
127	159	105	434
128	172	161	438
129	155	17	444
130	127	39	454
131	113	100	457
132	188	194	458
133	113	158	460
134	113	158	461
135	146	166	462
136	148	38	464
137	112	78	466
138	23	176	469
139	152	190	477
