Req	X_Coor	Y_Coor	Arr
0	200	200	-1
1	231	6	3
2	152	361	14
3	160	313	15
4	100	15	29
5	45	85	31
6	277	143	42
7	367	300	45
8	148	71	72
9	279	337	75
10	26	199	94
11	140	131	97
12	3	2	105
13	358	309	115
14	36	286	118
15	163	207	131
16	39	34	131
17	196	51	134
18	36	286	145
19	142	238	190
20	148	71	196
21	303	258	203
22	376	19	219
23	26	260	227
24	388	106	230
25	56	156	230
26	277	143	248
27	330	353	262
28	57	381	265
29	377	29	267
30	353	3	276
31	277	143	279
32	264	69	285
33	286	308	293
34	110	290	302
35	276	298	308
36	142	238	322
37	297	137	324
38	325	311	327
39	73	4	356
40	74	231	381
41	176	154	386
42	41	399	392
43	367	300	404
44	140	131	411
45	160	313	416
46	377	29	421
47	327	11	447
48	200	48	473
49	286	308	475
