Req	X_Coor	Y_Coor	Arr	E	L
0	40	50	-1	0	540
1	40	15	7	382	442
2	60	12	17	379	439
3	20	85	21	68	128
4	85	25	30	439	499
5	60	12	34	477	537
6	42	12	37	432	492
7	8	40	39	462	522
8	31	67	42	114	174
9	2	40	45	438	498
10	38	15	50	222	282
11	60	85	54	129	189
12	57	29	55	388	448
13	67	5	56	255	315
14	5	5	63	208	268
15	15	60	72	377	437
16	18	75	76	113	173
17	55	60	77	156	216
18	42	10	77	365	425
19	15	60	79	475	535
20	10	20	80	308	368
21	2	45	82	266	326
22	18	80	84	122	182
23	45	30	84	146	206
24	67	85	85	463	523
25	55	85	91	380	440
26	5	35	95	218	278
27	92	30	99	116	176
28	6	68	108	296	356
29	22	75	111	236	296
30	31	67	112	122	182
31	55	85	113	271	331
32	31	67	120	388	448
33	42	5	123	384	444
34	2	60	126	421	481
35	18	80	130	443	503
36	15	75	140	471	531
37	37	31	141	165	225
38	67	85	145	253	313
39	12	24	146	168	228
40	37	47	154	289	349
41	15	10	155	391	451
42	40	15	155	275	335
43	31	67	164	267	327
44	42	15	166	365	425
45	0	45	170	249	309
46	88	35	171	193	253
47	22	75	177	338	398
48	45	65	178	349	409
49	31	52	181	451	511
50	20	82	185	307	367
51	87	30	186	456	516
52	95	35	191	238	298
53	95	35	192	194	254
54	38	15	198	276	336
55	42	5	202	226	286
56	40	60	204	430	490
57	55	54	209	449	509
58	72	35	212	366	426
59	65	35	218	406	466
60	49	42	219	449	509
61	8	40	223	297	357
62	30	60	224	479	539
63	57	29	226	321	381
64	60	80	228	314	374
65	10	40	229	269	329
66	62	80	229	326	386
67	87	30	241	316	376
68	63	23	244	413	473
69	85	35	247	443	503
70	41	37	248	358	418
71	90	35	257	442	502
72	88	35	260	261	321
73	25	85	286	475	535
74	55	82	287	348	408
75	65	82	297	301	361
76	37	31	301	358	418
77	25	30	302	380	440
78	31	67	315	381	441
79	62	80	319	376	436
80	20	82	321	394	454
81	42	12	321	441	501
82	30	60	329	342	402
83	4	18	339	350	410
84	55	20	348	432	492
85	72	35	349	454	514
86	67	85	351	385	445
87	35	40	353	386	446
88	21	24	359	397	457
89	27	43	362	477	537
90	0	45	366	453	513
91	55	85	369	393	453
92	88	30	370	403	463
93	0	40	375	432	492
94	18	75	375	456	516
95	2	40	378	403	463
96	20	82	378	383	443
97	61	52	378	476	536
98	38	15	387	399	459
99	58	75	388	403	463
100	57	29	390	463	523
101	24	58	394	472	532
102	10	20	397	473	533
103	85	35	399	456	516
104	5	5	399	453	513
105	55	82	404	476	536
106	18	80	405	480	540
107	20	85	405	468	528
108	57	29	411	478	538
109	0	45	413	461	521
110	88	35	422	457	517
111	44	5	423	464	524
112	55	54	424	447	507
113	92	30	424	453	513
114	20	82	427	478	538
115	95	35	428	456	516
116	60	12	429	467	527
117	18	75	434	439	499
118	85	35	434	438	498
119	37	47	436	466	526
120	27	43	438	468	528
121	42	10	439	465	525
122	65	35	444	477	537
123	55	54	451	458	518
124	60	80	456	471	531
125	20	82	461	468	528
126	22	75	462	469	529
127	26	35	463	474	534
128	88	35	473	476	536
129	87	30	476	476	536
130	42	5	478	479	539
131	35	5	479	479	539
