Req	X_Coor	Y_Coor	Arr
0	150	150	-1
1	158	27	1
2	246	137	3
3	277	101	27
4	125	168	42
5	57	125	45
6	57	123	49
7	112	272	73
8	87	183	80
9	246	166	84
10	199	28	116
11	147	43	126
12	108	113	137
13	230	128	139
14	161	22	143
15	254	87	144
16	60	156	146
17	254	87	151
18	3	119	164
19	106	71	182
20	2	238	203
21	227	80	203
22	242	73	204
23	277	101	208
24	188	142	208
25	59	280	210
26	191	234	228
27	246	166	237
28	257	58	243
29	59	67	269
30	218	20	271
31	246	137	280
32	61	70	284
33	158	140	292
34	257	58	294
35	59	280	296
36	5	195	300
37	115	196	302
38	290	219	314
39	13	202	315
40	155	180	328
41	13	265	351
42	277	101	360
43	54	285	408
44	57	123	409
45	30	243	433
46	81	238	460
47	50	285	465
48	289	79	470
